goal	rule	score
needs_specialist(D, psychiatry)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
exhibits(D, D1)	exhibits(patient_jack, nausea)	1
exhibits(D1, D)	exhibits(patient_liam, fatigue)	1
has_symptom(D, D1)	has_symptom(influenza, muscle_weakness)	1
at_risk_for(patient_carol, depression)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
exhibits(patient_bob, D)	exhibits(patient_bob, cough)	1
has_symptom(hypertension, headache)	has_symptom(hypertension, headache)	1
exhibits(P, cough)	exhibits(patient_eve, cough)	1
has_risk_factor(patient_carol, smoking)	has_risk_factor(patient_carol, smoking)	1
has_symptom(copd, cough)	has_symptom(copd, cough)	1
risk_increases(poor_diet, D)	risk_increases(poor_diet, heart_disease)	1
exhibits(RF, cough)	exhibits(patient_bob, cough)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_bob, smoking)	1
requires_specialist(D, rheumatology)	requires_specialist(osteoporosis, rheumatology)	1
exhibits(Spec, D)	exhibits(patient_olivia, back_pain)	1
diagnosed_with(patient_dave, anxiety)	diagnosed_with(patient_dave, anxiety)	1
exhibits(D, D1)	exhibits(patient_alice, headache)	1
exhibits(SE, D)	exhibits(patient_iris, weight_gain)	1
has_symptom(osteoporosis, joint_pain)	has_symptom(osteoporosis, joint_pain)	1
may_have_disease(RF, arthritis)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
requires_specialist(copd, SE)	requires_specialist(copd, pulmonology)	1
exhibits(patient_iris, D)	exhibits(patient_iris, muscle_weakness)	1
side_effect(D1, D)	side_effect(lisinopril, dizziness)	1
exhibits(D2, D)	exhibits(patient_frank, muscle_weakness)	1
side_effect(prednisone, Drug)	side_effect(prednisone, weight_gain)	1
has_symptom(D, D1)	has_symptom(migraine, dizziness)	1
exhibits(Organ, dizziness)	exhibits(patient_kate, dizziness)	1
exhibits(S, D)	exhibits(patient_olivia, joint_pain)	1
may_have_disease(SE, arthritis)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
symptom(D)	symptom(back_pain)	1
treats(Organ, covid19)	treats(oseltamivir, covid19)	1
exhibits(RF, D)	exhibits(patient_kate, pale_skin)	1
has_symptom(D, sadness)	has_symptom(depression, sadness)	1
has_symptom(D, fever)	has_symptom(influenza, fever)	1
side_effect(D, D2)	side_effect(oseltamivir, nausea)	1
has_symptom(SE, D)	has_symptom(liver_disease, fatigue)	1
has_symptom(D, D1)	has_symptom(hypothyroidism, muscle_weakness)	1
has_symptom(D1, fatigue)	has_symptom(influenza, fatigue)	1
exhibits(patient_eve, cough)	exhibits(patient_eve, cough)	1
may_have_disease(patient_grace, influenza)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(S, D)	exhibits(patient_grace, joint_pain)	1
requires_specialist(D, RF)	requires_specialist(alzheimers, neurology)	1
risk_increases(poor_diet, diabetes)	risk_increases(poor_diet, diabetes)	1
side_effect(D, Organ)	side_effect(metformin, loss_of_appetite)	1
diagnosed_with(D, hypertension)	diagnosed_with(patient_carol, hypertension)	1
