goal	rule	score
parent(_EX4, _EX0)	parent(catelyn_stark, sansa_stark)	1
parent(X, Z)	parent(lewyn_martell, ella_martell)	1
parent(X, _EX0)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(X, _EX1)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(X, _EX4)	parent(ellaria_sand, four_unknown_martells)	1
parent(tytos_lannister, Z)	parent(tytos_lannister, kevan_lannister)	1
parent(_EX5, willem_lannister)	parent(kevan_lannister, willem_lannister)	1
parent(X, aegon_targaryen)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(X, _EX0)	parent(aegon_v_targaryen, daeron_targaryen)	1
parent(X, _EX1)	parent(catelyn_stark, robb_stark)	1
parent(_EX4, X)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(_EX4, _EX2)	parent(tytos_lannister, kevan_lannister)	1
parent(Y, Z)	parent(aegon_v_targaryen, aerys_targaryen)	1
parent(_EX3, _EX4)	parent(alerie_hightower, loras_tyrell)	1
parent(_EX3, _EX4)	parent(rhaella_targaryen, viserys_targaryen)	1
male(Y)	male(tyene_sand)	1
love(jon_snow, daenerys_targaryen)	love(jon_snow, daenerys_targaryen)	1
male(X)	male(trystane_martell)	1
parent(oberyn_martell, _EX3)	parent(oberyn_martell, four_unknown_martells)	1
parent(_EX6, _EX0)	parent(eddard_stark, bran_stark)	1
parent(_EX4, _EX2)	parent(oberyn_martell, tyene_sand)	1
parent(X, _EX3)	parent(olenna_tyrell, mace_tyrell)	1
ancestor(_EX0, nymeria_sand)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX5, jaime_lannister)	parent(tywin_lannister, jaime_lannister)	1
parent(_EX0, _EX4)	parent(unknown_mother_sand_1, obara_sand)	1
parent(X, jaime_lannister)	parent(tywin_lannister, jaime_lannister)	1
parent(X, _EX6)	parent(eddard_stark, bran_stark)	1
parent(_EX4, _EX0)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(_EX6, X)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(_EX0, _EX3)	parent(unknown_mother_martell, ella_martell)	1
parent(X, _EX5)	parent(joanna_lannister, cersei_lannister)	1
male(Y)	male(benjen_stark)	1
parent(_EX6, _EX4)	parent(jaime_lannister, tommen_lannister)	1
parent(X, rhaella_targaryen)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(X, _EX6)	parent(unknown_mother_stark, brandon_stark)	1
parent(_EX1, X)	parent(rickard_stark, brandon_stark)	1
parent(X, _EX3)	parent(unknown_mother_stark, lyanna_stark)	1
parent(_EX5, balon_greyjoy)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(X, daeron_targaryen)	parent(aegon_v_targaryen, daeron_targaryen)	1
parent(X, Y)	parent(ellaria_sand, four_unknown_martells)	1
parent(_EX2, Y)	parent(oberyn_martell, obara_sand)	1
parent(_EX0, X)	parent(eddard_stark, arya_stark)	1
parent(_EX3, _EX4)	parent(unknown_mother_targaryen, daeron_targaryen)	1
parent(Z, _EX3)	parent(elia_martell, rhaenys_targaryen)	1
parent(X, _EX1)	parent(alannys_harlaw, yara_greyjoy)	1
parent(X, _EX1)	parent(unknown_mother_sand_2, nymeria_sand)	1
parent(Y, X)	parent(unknown_mother_lannister, tywin_lannister)	1
male(X)	male(rhaegar_targaryen)	1
parent(X, _EX3)	parent(balon_greyjoy, maron_greyjoy)	1
parent(lewyn_martell, oberyn_martell)	parent(lewyn_martell, oberyn_martell)	1
parent(X, _EX2)	parent(cersei_lannister, tommen_lannister)	1
parent(jaime_lannister, _EX5)	parent(jaime_lannister, joffery_lannister)	1
parent(_EX6, _EX4)	parent(aegon_v_targaryen, daeron_targaryen)	1
parent(X, Z)	parent(unknown_father_greyjoy, balon_greyjoy)	1
status(Y, X)	status(rhaella_targaryen, dead)	1
parent(_EX5, X)	parent(unknown_mother_targaryen, duncan_targaryen)	1
parent(_EX0, cersei_lannister)	parent(tywin_lannister, cersei_lannister)	1
parent(_EX4, _EX2)	parent(unknown_mother_lannister, tywin_lannister)	1
ancestor(X, tyene_sand)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX4, _EX2)	parent(unknown_mother_stark, benjen_stark)	1
parent(cersei_lannister, _EX3)	parent(cersei_lannister, joffery_lannister)	1
parent(X, _EX1)	parent(rhaegar_targaryen, jon_snow)	1
parent(rhaegar_targaryen, _EX0)	parent(rhaegar_targaryen, jon_snow)	1
parent(X, _EX5)	parent(catelyn_stark, robb_stark)	1
female(X)	female(rhaella_targaryen)	1
parent(_EX6, _EX0)	parent(unknown_mother_martell, ella_martell)	1
parent(_EX0, _EX4)	parent(kevan_lannister, willem_lannister)	1
parent(_EX3, _EX4)	parent(unknown_mother_sand_3, sarella_sand)	1
parent(_EX1, X)	parent(steffon_baratheon, stannis_baratheon)	1
parent(_EX3, _EX4)	parent(cersei_lannister, tommen_lannister)	1
parent(_EX4, _EX0)	parent(rickard_stark, brandon_stark)	1
parent(eddard_stark, _EX6)	parent(eddard_stark, arya_stark)	1
status(X, dead)	status(mace_tyrell, dead)	1
parent(_EX0, nymeria_sand)	parent(unknown_mother_sand_2, nymeria_sand)	1
parent(_EX0, _EX4)	parent(unknown_mother_targaryen, daeron_targaryen)	1
parent(unknown_mother_sand_3, X)	parent(unknown_mother_sand_3, sarella_sand)	1
female(X)	female(unknown_mother_martell)	1
descendant(_EX4, tytos_lannister)	descendant(X, Y) :- ancestor(Y, X)	1
parent(eddard_stark, _EX6)	parent(eddard_stark, bran_stark)	1
parent(_EX3, _EX4)	parent(lyanna_stark, jon_snow)	1
parent(X, _EX2)	parent(lewyn_martell, doran_martell)	1
parent(X, _EX5)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(Z, _EX3)	parent(luthor_tyrell, mace_tyrell)	1
parent(Y, Z)	parent(olenna_tyrell, mace_tyrell)	1
parent(Y, X)	parent(mellario_of_norvos, trystane_martell)	1
parent(X, _EX1)	parent(lewyn_martell, doran_martell)	1
parent(_EX4, X)	parent(elia_martell, aegon_targaryen)	1
parent(X, _EX6)	parent(aerys_targaryen, viserys_targaryen)	1
parent(X, _EX3)	parent(unknown_mother_targaryen, duncan_targaryen)	1
parent(balon_greyjoy, _EX1)	parent(balon_greyjoy, rodrick_greyjoy)	1
female(_EX4)	female(unknown_mother_sand_3)	1
parent(_EX6, _EX4)	parent(jaime_lannister, myrcella_lannister)	1
male(X)	male(varys)	1
parent(X, _EX5)	parent(mace_tyrell, loras_tyrell)	1
parent(X, _EX1)	parent(tytos_lannister, tywin_lannister)	1
parent(oberyn_martell, X)	parent(oberyn_martell, tyene_sand)	1
parent(balon_greyjoy, _EX4)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(Y, Z)	parent(unknown_mother_stark, lyanna_stark)	1
parent(X, _EX3)	parent(unknown_mother_sand_1, obara_sand)	1
parent(_EX0, _EX3)	parent(oberyn_martell, four_unknown_martells)	1
parent(X, _EX4)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(Y, cersei_lannister)	parent(tywin_lannister, cersei_lannister)	1
ancestor(X, _EX3)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX1, X)	parent(eddard_stark, rickon_stark)	1
parent(X, _EX0)	parent(alerie_hightower, loras_tyrell)	1
parent(kevan_lannister, _EX1)	parent(kevan_lannister, lancel_lannister)	1
parent(_EX0, _EX4)	parent(unknown_mother_sand_3, sarella_sand)	1
female(obara_sand)	female(obara_sand)	1
parent(_EX4, Y)	parent(rhaegar_targaryen, aegon_targaryen)	1
female(X)	female(olenna_tyrell)	1
parent(X, _EX0)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(X, _EX0)	parent(catelyn_stark, rickon_stark)	1
male(aerys_targaryen)	male(aerys_targaryen)	1
ancestor(rhaella_targaryen, _EX3)	ancestor(X, Y) :- parent(X, Y)	1
parent(Z, _EX3)	parent(unknown_mother_stark, lyanna_stark)	1
ancestor(jaime_lannister, _EX3)	ancestor(X, Y) :- parent(X, Y)	1
parent(catelyn_stark, _EX6)	parent(catelyn_stark, sansa_stark)	1
parent(_EX4, X)	parent(steffon_baratheon, renly_baratheon)	1
parent(_EX4, _EX2)	parent(mace_tyrell, margaery_tyrell)	1
parent(balon_greyjoy, _EX2)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(_EX4, X)	parent(rickard_stark, benjen_stark)	1
male(Y)	male(tommen_lannister)	1
parent(X, Z)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(Y, Z)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(X, Y)	parent(eddard_stark, bran_stark)	1
parent(cassana_estermont, X)	parent(cassana_estermont, stannis_baratheon)	1
male(duncan_targaryen)	male(duncan_targaryen)	1
parent(eddard_stark, Z)	parent(eddard_stark, robb_stark)	1
parent(_EX6, _EX0)	parent(oberyn_martell, four_unknown_martells)	1
parent(Y, X)	parent(lewyn_martell, ella_martell)	1
parent(tywin_lannister, _EX2)	parent(tywin_lannister, jaime_lannister)	1
parent(_EX5, lyanna_stark)	parent(rickard_stark, lyanna_stark)	1
parent(tywin_lannister, Z)	parent(tywin_lannister, tyrion_lannister)	1
parent(_EX4, balon_greyjoy)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(eddard_stark, _EX1)	parent(eddard_stark, robb_stark)	1
parent(oberyn_martell, nymeria_sand)	parent(oberyn_martell, nymeria_sand)	1
parent(_EX4, _EX0)	parent(eddard_stark, rickon_stark)	1
parent(kevan_lannister, willem_lannister)	parent(kevan_lannister, willem_lannister)	1
female(X)	female(myrcella_lannister)	1
parent(X, _EX4)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(_EX2, X)	parent(rickard_stark, lyanna_stark)	1
parent(X, _EX1)	parent(balon_greyjoy, yara_greyjoy)	1
parent(_EX4, _EX0)	parent(ellaria_sand, tyene_sand)	1
ancestor(_EX2, lancel_lannister)	ancestor(X, Y) :- parent(X, Y)	1
ancestor(doran_martell, _EX4)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX4)	parent(aerys_targaryen, viserys_targaryen)	1
parent(X, _EX1)	parent(aegon_v_targaryen, aerys_targaryen)	1
parent(cersei_lannister, _EX4)	parent(cersei_lannister, joffery_lannister)	1
parent(Y, Z)	parent(unknown_mother_sand_1, obara_sand)	1
ancestor(rhaella_targaryen, _EX0)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX0)	parent(cersei_lannister, tommen_lannister)	1
parent(_EX4, aerys_targaryen)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(X, Z)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(_EX4, _EX2)	parent(eddard_stark, robb_stark)	1
parent(_EX6, _EX0)	parent(alannys_harlaw, maron_greyjoy)	1
parent(_EX0, _EX3)	parent(rhaella_targaryen, daenerys_targaryen)	1
female(X)	female(unknown_mother_lannister)	1
parent(X, _EX0)	parent(lyanna_stark, jon_snow)	1
parent(_EX2, X)	parent(catelyn_stark, rickon_stark)	1
parent(Y, Z)	parent(kevan_lannister, willem_lannister)	1
parent(_EX5, jaime_lannister)	parent(joanna_lannister, jaime_lannister)	1
parent(X, jaime_lannister)	parent(joanna_lannister, jaime_lannister)	1
parent(aegon_v_targaryen, X)	parent(aegon_v_targaryen, duncan_targaryen)	1
parent(_EX2, X)	parent(catelyn_stark, robb_stark)	1
male(daeron_targaryen)	male(daeron_targaryen)	1
parent(aerys_targaryen, X)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(_EX2, Y)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(_EX6, X)	parent(unknown_mother_sand_1, obara_sand)	1
parent(X, _EX3)	parent(lyanna_stark, jon_snow)	1
parent(_EX4, X)	parent(rhaella_targaryen, rhaegar_targaryen)	1
male(Y)	male(tytos_lannister)	1
parent(Y, cersei_lannister)	parent(joanna_lannister, cersei_lannister)	1
parent(_EX0, _EX3)	parent(aegon_v_targaryen, rhaella_targaryen)	1
female(X)	female(joanna_lannister)	1
parent(aerys_targaryen, X)	parent(aerys_targaryen, viserys_targaryen)	1
parent(_EX1, X)	parent(oberyn_martell, obara_sand)	1
parent(cassana_estermont, stannis_baratheon)	parent(cassana_estermont, stannis_baratheon)	1
parent(_EX6, _EX4)	parent(unknown_mother_sand_2, nymeria_sand)	1
ancestor(eddard_stark, _EX1)	ancestor(X, Y) :- parent(X, Y)	1
parent(balon_greyjoy, _EX0)	parent(balon_greyjoy, rodrick_greyjoy)	1
parent(Y, X)	parent(eddard_stark, rickon_stark)	1
parent(cassana_estermont, X)	parent(cassana_estermont, renly_baratheon)	1
parent(mace_tyrell, Y)	parent(mace_tyrell, loras_tyrell)	1
parent(X, _EX4)	parent(elia_martell, rhaenys_targaryen)	1
female(_EX4)	female(unknown_mothersand_1)	1
parent(Z, X)	parent(unknown_mother_stark, benjen_stark)	1
parent(_EX4, _EX2)	parent(ellaria_sand, four_unknown_martells)	1
parent(_EX6, X)	parent(kevan_lannister, willem_lannister)	1
male(X)	male(brandon_stark)	1
parent(Y, kevan_lannister)	parent(tytos_lannister, kevan_lannister)	1
male(doran_martell)	male(doran_martell)	1
